"","Acet2but","Arg2Hcarb","Caf_respir","Caf_respir,FA-unasgd","FA-Unasgd","FA-unasgd,caf_respir","FA-unasgd,GR_FA,Pyr2acet-form","Fum2succin","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","GR_FA,FA-unasgd,Pyr2acet-form","GR_FA,Pyr2acet-form,FA-unasgd","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","Nit_reduct","Others_HGD_unasgd","Oxid_gly","Pyr2acet-form","Succin2prop,Putr2sper","TPP_AA_metab","TPP_FA"
"Acet2but",1,0,0,0,0,0,0,0.009804,0,0,0,0,0,0,0,0.016667,1,0.011905,0
"Arg2Hcarb",0,1,0.010638,0.103093,0.35,0.031579,0.010638,0.902913,0.12766,0.159574,0.117021,0.06383,0.821782,0.010638,0.010638,0.466667,0,0.728155,0.74
"Caf_respir",0,0.010638,1,0,0.02439,0,0,0.009804,0,0,0,0,0.011111,0,0,0.016667,0,0.011905,0
"Caf_respir,FA-unasgd",0,0.103093,0,1,0,0,0,0.127451,0,0,0,0,0.107527,0.076923,0.076923,0.216667,0,0.114943,0.107143
"FA-Unasgd",0,0.35,0.02439,0,1,0,0,0.361905,0,0,0,0,0.31,0,0,0.683333,0,0.28866,0.301075
"FA-unasgd,caf_respir",0,0.031579,0,0,0,1,0,0.039216,0,0,0,0,0.044444,0,0,0.066667,0,0.035294,0.037037
"FA-unasgd,GR_FA,Pyr2acet-form",0,0.010638,0,0,0,0,1,0.009804,0,0,0,0,0.011111,0,0,0,0,0.011905,0.0125
"Fum2succin",0.009804,0.902913,0.009804,0.127451,0.361905,0.039216,0.009804,1,0.117647,0.147059,0.107843,0.058824,0.846154,0.009804,0.009804,0.542857,0.009804,0.771429,0.75
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0,0.12766,0,0,0,0,0,0.117647,1,0,0,0,0.133333,0,0,0,0,0.103448,0.108434
"GR_FA,FA-unasgd,Pyr2acet-form",0,0.159574,0,0,0,0,0,0.147059,0,1,0,0,0.166667,0,0,0,0,0.178571,0.17284
"GR_FA,Pyr2acet-form,FA-unasgd",0,0.117021,0,0,0,0,0,0.107843,0,0,1,0,0.122222,0,0,0,0,0.117647,0.109756
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0,0.06383,0,0,0,0,0,0.058824,0,0,0,1,0.066667,0,0,0,0,0.071429,0.075
"Nit_reduct",0,0.821782,0.011111,0.107527,0.31,0.044444,0.011111,0.846154,0.133333,0.166667,0.122222,0.066667,1,0.011111,0.011111,0.428571,0,0.74,0.683168
"Others_HGD_unasgd",0,0.010638,0,0.076923,0,0,0,0.009804,0,0,0,0,0.011111,1,1,0.016667,0,0,0.0125
"Oxid_gly",0,0.010638,0,0.076923,0,0,0,0.009804,0,0,0,0,0.011111,1,1,0.016667,0,0,0.0125
"Pyr2acet-form",0.016667,0.466667,0.016667,0.216667,0.683333,0.066667,0,0.542857,0,0,0,0,0.428571,0.016667,0.016667,1,0.016667,0.411765,0.414141
"Succin2prop,Putr2sper",1,0,0,0,0,0,0,0.009804,0,0,0,0,0,0,0,0.016667,1,0.011905,0
"TPP_AA_metab",0.011905,0.728155,0.011905,0.114943,0.28866,0.035294,0.011905,0.771429,0.103448,0.178571,0.117647,0.071429,0.74,0,0,0.411765,0.011905,1,0.656566
"TPP_FA",0,0.74,0,0.107143,0.301075,0.037037,0.0125,0.75,0.108434,0.17284,0.109756,0.075,0.683168,0.0125,0.0125,0.414141,0,0.656566,1
