"CC","total_bgcs","Sample"
"CC1",7,"CA-1"
"CC15",7,"CA-2"
"CC1",9,"CA-3"
"CC121",7,"CA-5"
"CC15",7,"CA-7"
"CC121",6,"CA-8"
"CC97",6,"CA-9"
"CC1",9,"CA-10"
"UD",8,"CA-11"
"CC15",6,"CA-12"
"CC1",7,"CA-13"
"CC1",7,"CA-14"
"CC5",7,"CA-15"
"CC121",7,"CA-16"
"CC97",6,"CA-17"
"CC121",8,"CA-18"
"CC1",8,"CA-19"
"CC1",8,"CA-20"
"UD",8,"CA-21"
"CC1",6,"CA-22"
"CC1",9,"CA-23"
"CC30",7,"CA-24"
"CC5",7,"CA-25"
"CC5",7,"CA-26"
"CC97",7,"CA-27"
"CC1",7,"CA-28"
"CC97",7,"CA-29"
"CC121",7,"CA-30"
"CC15",7,"CA-31"
"CC22",7,"CA-32"
"CC8",7,"CA-33"
"CC15",8,"CA-35"
"CC15",7,"CA-36"
"CC30",6,"CA-38"
"CC15",7,"CA-39"
"CC5",5,"CA-40"
"CC15",8,"CA-41"
"UD",9,"CA-42"
"UD",6,"CA-43"
"CC8",7,"CA-45"
"CC121",6,"CA-46"
"CC121",7,"CA-49"
"CC1",9,"CA-50"
"CC97",7,"CA-52"
"CC121",8,"CA-53"
"CC1",7,"CA-54"
"CC8",0,"CA-56"
"CC97",8,"CA-55"
"CC97",5,"CA-57"
"CC1",8,"CA-59"
"CC1",8,"CA-60"
"CC97",7,"CA-62"
"CC1",6,"CA-63"
"CC97",6,"CA-64"
"CC121",8,"CA-66"
"CC121",10,"CA-68"
"CC8",9,"CA-74"
"CC121",7,"CA-76"
"CC121",0,"CA-77"
"CC8",8,"CA-78"
"CC5",9,"CA-86"
"CC5",0,"CA-87"
"UD",7,"CA-88"
"CC22",6,"CA-91"
"CC1",7,"CA-92"
"CC22",7,"CA-93"
"CC8",7,"CA-94"
"UD",9,"CA-95"
"CC15",9,"CA-96"
"CC15",9,"CA-101"
"CC5",6,"CA-104"
"CC1",7,"CA-105"
"UD",8,"CA-107"
"CC8",7,"CA-108"
"CC1",7,"CA-112"
"CC1",6,"CA-115"
"CC121",8,"CA-117"
"CC121",9,"CA-118"
"CC97",6,"CA-119"
"CC121",8,"CA-127"
"CC1",8,"CA-128"
"CC22",7,"CA-129"
"CC5",8,"CA-130"
"CC8",7,"CA-131"
"CC1",7,"CA-132"
"CC8",9,"CA-138"
"CC22",6,"CA-140"
"CC8",9,"CA-141"
"CC121",7,"CA-142"
"CC22",8,"CA-143"
"CC1",8,"CA-146"
"CC8",8,"CA-148"
"UD",9,"CA-150"
"CC1",9,"CA-151"
"UD",7,"CA-152"
"UD",7,"CA-153"
"CC1",9,"CA-154"
"CC22",7,"CA-155"
"UD",8,"CA-156"
"CC1",7,"CA-158"
"CC1",7,"CA-162"
"CC5",8,"CA-163"
"CC121",7,"CA-164"
"CC5",9,"CA-165"
"CC1",8,"CA-167"
"CC15",8,"CA-168"
"CC15",8,"CA-177"
"CC97",6,"CA-185"
"CC30",8,"CA-186"
"UD",9,"CA-187"
"UD",7,"CA-190"
"CC121",7,"CA-198"
"CC121",7,"CA-200"
"CC97",7,"Reference-1"
"CC97",7,"Reference-2"
"CC97",7,"Reference-3"
