"","NI-siderophore","NRPS","T3PKS","Opine-like-metallophore","TPS","Cyc-lac-autoinducer","RiPP-like","Lanpeptide-ci","RRE-containing","NRPS-like"
"NI-siderophore",1,1,1,0.991869918699187,0.967479674796748,0.439024390243902,0.32520325203252,0.24390243902439,0.0975609756097561,0.032520325203252
"NRPS",1,1,1,0.991869918699187,0.967479674796748,0.439024390243902,0.32520325203252,0.24390243902439,0.0975609756097561,0.032520325203252
"T3PKS",1,1,1,0.991869918699187,0.967479674796748,0.439024390243902,0.32520325203252,0.24390243902439,0.0975609756097561,0.032520325203252
"Opine-like-metallophore",0.991869918699187,0.991869918699187,0.991869918699187,1,0.959349593495935,0.442622950819672,0.327868852459016,0.245901639344262,0.0983606557377049,0.024390243902439
"TPS",0.967479674796748,0.967479674796748,0.967479674796748,0.959349593495935,1,0.429752066115702,0.30327868852459,0.221311475409836,0.0916666666666667,0.0336134453781513
"Cyc-lac-autoinducer",0.439024390243902,0.439024390243902,0.439024390243902,0.442622950819672,0.429752066115702,1,0.36231884057971,0.333333333333333,0.1,0
"RiPP-like",0.32520325203252,0.32520325203252,0.32520325203252,0.327868852459016,0.30327868852459,0.36231884057971,1,0.147540983606557,0.130434782608696,0.0232558139534884
"Lanpeptide-ci",0.24390243902439,0.24390243902439,0.24390243902439,0.245901639344262,0.221311475409836,0.333333333333333,0.147540983606557,1,0.135135135135135,0
"RRE-containing",0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0983606557377049,0.0916666666666667,0.1,0.130434782608696,0.135135135135135,1,0.0666666666666667
"NRPS-like",0.032520325203252,0.032520325203252,0.032520325203252,0.024390243902439,0.0336134453781513,0,0.0232558139534884,0,0.0666666666666667,1
