Sample-id,Node,Region,Type,From,To,Most_similar_known cluster,Similarity %,cluster
CA_1_polish,NODE_3_length_345482_cov_29.145618_pilon_pilon_pilon_pilon,Region&nbsp3.1,NRPS,291074,336620,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_16_polish,NODE_4_length_40540_cov_33.925989_pilon_pilon_pilon_pilon,Region&nbsp4.1,NRPS,1,40034,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_14_polish,NODE_23_length_8850_cov_18.314800_pilon_pilon_pilon_pilon,Region&nbsp23.1,NRPS,1,8850,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_10_polish,NODE_5_length_14964_cov_29.080003_pilon_pilon_pilon_pilon,Region&nbsp5.1,NRPS,1,14964,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_9_polish,NODE_11_length_13570_cov_34.192145_pilon_pilon_pilon_pilon,Region&nbsp11.1,NRPS,1,13570,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_12_polish,NODE_4_length_26103_cov_30.431090_pilon_pilon_pilon_pilon,Region&nbsp4.1,NRPS,1,26103,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_11_polish,NODE_6_length_13259_cov_29.353792_pilon_pilon_pilon_pilon,Region&nbsp6.1,NRPS,1,13259,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_15_polish,NODE_11_length_13657_cov_43.908574_pilon_pilon_pilon_pilon,Region&nbsp11.1,NRPS,1,13657,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_13_polish,NODE_14_length_13607_cov_42.418843_pilon_pilon_pilon_pilon,Region&nbsp14.1,NRPS,1,13607,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_7_polish,NODE_53_length_16970_cov_35.368640_pilon_pilon_pilon_pilon,Region&nbsp53.1,NRPS,1,16970,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_3_polish,NODE_14_length_54913_cov_80.499398_pilon_pilon_pilon_pilon,Region&nbsp14.1,NRPS,1,46530,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_8_polish,NODE_7_length_13598_cov_31.167248_pilon_pilon_pilon_pilon,Region&nbsp7.1,NRPS,1,13598,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_5_polish,NODE_4_length_70541_cov_31.986693_pilon_pilon_pilon_pilon,Region&nbsp4.1,NRPS,405,47580,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_2_polish,NODE_1_length_284298_cov_54.758645_pilon_pilon_pilon_pilon,Region&nbsp1.1,NRPS,227088,274263,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_54_pilosh,NODE_18_length_13675_cov_27.538530_pilon_pilon_pilon_pilon,Region&nbsp18.1,NRPS,1,13675,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_53_pilosh,NODE_8_length_23548_cov_37.646343_pilon_pilon_pilon_pilon,Region&nbsp8.1,NRPS,1,23548,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_50_pilosh,NODE_26_length_21864_cov_9.638773_pilon_pilon_pilon_pilon,Region&nbsp26.1,NRPS,1,21864,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_52_pilosh,NODE_3_length_159883_cov_18.961804_pilon_pilon_pilon_pilon,Region&nbsp3.2,NRPS,103969,151144,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_43_pilosh,NODE_2_length_1028516_cov_85.138346_pilon_pilon_pilon_pilon,Region&nbsp2.1,NRPS,283163,330338,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_41_pilosh,NODE_2_length_219110_cov_51.922195_pilon_pilon_pilon_pilon,Region&nbsp2.1,NRPS,88061,135236,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_44_pilosh,NODE_3_length_21996_cov_6.716539_pilon_pilon_pilon_pilon,Region&nbsp3.1,NRPS,1,21996,ulbactin F/ulbactin G,28,NRP
CA_44_pilosh,NODE_683_length_2220_cov_4.806498_pilon_pilon_pilon_pilon,Region&nbsp683.1,NRPS,1,2220,,,
CA_42_pilosh,NODE_1_length_101160_cov_72.151693_pilon_pilon_pilon_pilon,Region&nbsp1.1,NRPS,2261,49436,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_49_pilosh,NODE_2_length_170169_cov_71.540949_pilon_pilon_pilon_pilon,Region&nbsp2.1,NRPS,114804,161979,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_48_pilosh,NODE_262_length_3336_cov_5.653163_pilon_pilon_pilon_pilon,Region&nbsp262.1,NRPS,1,3336,,,
CA_47_pilosh,NODE_5_length_62413_cov_10.127091_pilon_pilon_pilon_pilon,Region&nbsp5.1,NRPS,1,43935,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_46_pilosh,NODE_1_length_170082_cov_23.684305_pilon_pilon_pilon_pilon,Region&nbsp1.1,NRPS,8202,55377,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_45_pilosh,NODE_1_length_147251_cov_16.735502_pilon_pilon_pilon_pilon,Region&nbsp1.1,NRPS,98082,145257,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_36_pilosh,NODE_2_length_173216_cov_81.428306_pilon_pilon_pilon_pilon,Region&nbsp2.1,NRPS,115957,163132,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_39_pilosh,NODE_10_length_86153_cov_20.236696_pilon_pilon_pilon_pilon,Region&nbsp10.1,NRPS,10088,57263,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_40_pilosh,NODE_7_length_26711_cov_41.937444_pilon_pilon_pilon_pilon,Region&nbsp7.1,NRPS,1,26711,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_35_pilosh,NODE_6_length_14263_cov_15.945600_pilon_pilon_pilon_pilon,Region&nbsp6.1,NRPS,1,14263,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_34_pilosh,NODE_33_length_9125_cov_21.570682_pilon_pilon_pilon_pilon,Region&nbsp33.1,NRPS,1,9125,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_33_pilosh,NODE_2_length_42912_cov_16.602945_pilon_pilon_pilon_pilon,Region&nbsp2.1,NRPS,9611,42912,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_38_pilosh,NODE_1_length_112866_cov_124.309396_pilon_pilon_pilon_pilon,Region&nbsp1.1,NRPS,65616,112791,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_32_pilosh,NODE_18_length_14988_cov_33.476819_pilon_pilon_pilon_pilon,Region&nbsp18.1,NRPS,1,14988,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_30_pilosh,NODE_2_length_255426_cov_42.292238_pilon_pilon_pilon_pilon,Region&nbsp2.1,NRPS,118665,165840,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_29_pilosh,NODE_1_length_865452_cov_40.088619_pilon_pilon_pilon_pilon,Region&nbsp1.1,NRPS,95715,142890,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_31_pilosh,NODE_22_length_13559_cov_31.496873_pilon_pilon_pilon_pilon,Region&nbsp22.1,NRPS,1,13559,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_25_polish,NODE_6_length_29972_cov_41.541129_pilon_pilon_pilon_pilon,Region&nbsp6.1,NRPS,1,28918,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_28_pilosh,NODE_40_length_14975_cov_42.716797_pilon_pilon_pilon_pilon,Region&nbsp40.1,NRPS,1,14975,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_24_polish,NODE_39_length_11706_cov_36.910614_pilon_pilon_pilon_pilon,Region&nbsp39.1,NRPS,1,11706,,,
CA_24_polish,NODE_60_length_9901_cov_44.295989_pilon_pilon_pilon_pilon,Region&nbsp60.1,NRPS,1,9901,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_26_polish,NODE_7_length_26955_cov_39.390525_pilon_pilon_pilon_pilon,Region&nbsp7.1,NRPS,1,26955,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_27_polish,NODE_2_length_588254_cov_47.348906_pilon_pilon_pilon_pilon,Region&nbsp2.3,NRPS,409914,457089,aureusimine A/aureusimine B/aureusimine C,100,NRP
CA_23_polish,NODE_37_length_9097_cov_30.527648_pilon_pilon_pilon_pilon,Region&nbsp37.1,NRPS,1,9097,aureusimine A/aureusimine B/aureusimine C,100,NRP
